#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RAPGEF3	RRAS	1857808	1843834	9606.ENSP00000373864	9606.ENSP00000246792	0	0	0	0	0.050	0.097	0.800	0.612	0.924
COL4A1	COL6A1	1856385	1854318	9606.ENSP00000364979	9606.ENSP00000355180	0	0	0	0.614	0.170	0	0.900	0.369	0.924
PTPRC	CD34	1854576	1849250	9606.ENSP00000356346	9606.ENSP00000310036	0	0	0	0	0	0	0	0.924	0.924
RAC2	ARAP3	1843949	1843522	9606.ENSP00000249071	9606.ENSP00000239440	0	0	0	0	0	0.126	0.900	0.195	0.923
IGF2	FN1	1859600	1853098	9606.ENSP00000391826	9606.ENSP00000346839	0	0	0	0	0.053	0	0.900	0.261	0.923
CXCL12	LPAR1	1858332	1853763	9606.ENSP00000379140	9606.ENSP00000351755	0	0	0	0	0	0.145	0.900	0.173	0.923
ADCY4	ADCY3	1849496	1844803	9606.ENSP00000312126	9606.ENSP00000260600	0	0	0	0.687	0.044	0	0.900	0.739	0.923
HLA-C	HLA-F	1856460	1844740	9606.ENSP00000365402	9606.ENSP00000259951	0	0	0	0.974	0	0.248	0.900	0.774	0.923
HLA-A	VCAM1	1856558	1847502	9606.ENSP00000366005	9606.ENSP00000294728	0	0	0	0	0.046	0	0.900	0.250	0.922
IGF1	KDR	1848439	1845437	9606.ENSP00000302665	9606.ENSP00000263923	0	0	0	0	0	0	0.800	0.630	0.922
COL16A1	COL1A2	1855964	1847845	9606.ENSP00000362776	9606.ENSP00000297268	0	0	0	0.635	0.208	0	0.900	0.161	0.921
SERPING1	SERPINE1	1846563	1842959	9606.ENSP00000278407	9606.ENSP00000223095	0	0	0.527	0.684	0	0	0.900	0.255	0.921
CCL19	CXCR7	1849114	1846285	9606.ENSP00000308815	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0.249	0.921
CXCL12	NPY1R	1858332	1854180	9606.ENSP00000379140	9606.ENSP00000354652	0	0	0	0	0	0.145	0.900	0.154	0.921
C3	ESR1	1843781	1842435	9606.ENSP00000245907	9606.ENSP00000206249	0	0	0	0	0.048	0	0.900	0.239	0.921
SERPING1	HGF	1846563	1842916	9606.ENSP00000278407	9606.ENSP00000222390	0.074	0	0	0	0.057	0.170	0.900	0.084	0.921
IGF2	VWF	1859600	1844904	9606.ENSP00000391826	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.249	0.921
CXCR4	GNAI2	1859216	1849590	9606.ENSP00000386884	9606.ENSP00000312999	0	0	0	0	0.049	0.170	0.900	0.110	0.920
C1QA	SERPING1	1856156	1846563	9606.ENSP00000363773	9606.ENSP00000278407	0	0	0	0	0.428	0	0.800	0.358	0.920
HCAR3	BDKRB2	1862042	1848988	9606.ENSP00000436714	9606.ENSP00000307713	0	0	0	0.699	0	0	0.900	0.704	0.920
IGF2	IGF1	1859600	1848439	9606.ENSP00000391826	9606.ENSP00000302665	0	0	0	0.802	0.053	0	0.900	0.968	0.920
CLDN10	CLDN11	1848052	1842237	9606.ENSP00000299339	9606.ENSP00000064724	0	0	0	0.713	0.054	0	0.900	0.640	0.919
COL1A2	ESR1	1847845	1842435	9606.ENSP00000297268	9606.ENSP00000206249	0	0	0	0	0	0.065	0.900	0.205	0.919
IGF1	PDGFRA	1848439	1844502	9606.ENSP00000302665	9606.ENSP00000257290	0	0	0	0	0	0	0.800	0.613	0.919
SDC4	FN1	1855743	1853098	9606.ENSP00000361818	9606.ENSP00000346839	0	0	0	0	0.054	0	0.900	0.205	0.918
CCL19	CCL5	1849114	1847396	9606.ENSP00000308815	9606.ENSP00000293272	0	0	0	0.831	0.129	0	0.900	0.629	0.918
NPY1R	CCL27	1854180	1844710	9606.ENSP00000354652	9606.ENSP00000259631	0	0	0	0	0	0.066	0.900	0.193	0.918
GNAI2	CCL5	1849590	1847396	9606.ENSP00000312999	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.219	0.918
IL3RA	PIK3CB	1850970	1847156	9606.ENSP00000327890	9606.ENSP00000289153	0	0	0	0	0	0	0.900	0.214	0.918
LPAR1	MMP2	1853763	1842719	9606.ENSP00000351755	9606.ENSP00000219070	0	0	0	0	0.121	0	0.900	0.144	0.918
PRKCD	IGF1	1851365	1848439	9606.ENSP00000331602	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.206	0.917
VCAM1	CCL2	1847502	1843055	9606.ENSP00000294728	9606.ENSP00000225831	0	0	0	0	0.107	0	0	0.911	0.917
NPY1R	CCL21	1854180	1844708	9606.ENSP00000354652	9606.ENSP00000259607	0	0	0	0	0	0.064	0.900	0.186	0.917
PIK3R1	HGF	1846375	1842916	9606.ENSP00000274335	9606.ENSP00000222390	0	0	0	0	0	0.129	0.900	0.133	0.917
VEGFC	ITGA9	1846658	1845614	9606.ENSP00000280193	9606.ENSP00000264741	0	0	0	0	0	0	0.900	0.210	0.917
CFB	CD46	1861233	1849660	9606.ENSP00000416561	9606.ENSP00000313875	0	0	0	0.628	0	0	0.900	0.493	0.917
LPAR1	GNAI2	1853763	1849590	9606.ENSP00000351755	9606.ENSP00000312999	0	0	0	0	0	0.170	0.900	0.075	0.916
IGF1	F13A1	1848439	1845635	9606.ENSP00000302665	9606.ENSP00000264870	0	0	0	0	0.107	0	0.900	0.143	0.916
CLDN5	CLDN11	1858954	1842237	9606.ENSP00000384554	9606.ENSP00000064724	0	0	0	0.692	0	0	0.900	0.549	0.916
IL2RG	IL3RA	1856061	1850970	9606.ENSP00000363318	9606.ENSP00000327890	0	0	0	0	0	0	0.900	0.204	0.916
HLA-A	HLA-E	1856558	1856531	9606.ENSP00000366005	9606.ENSP00000365817	0	0	0	0.982	0.055	0.176	0.900	0.820	0.916
IL2RG	PIK3R1	1856061	1846375	9606.ENSP00000363318	9606.ENSP00000274335	0	0	0	0	0	0	0.900	0.197	0.916
NPY1R	GNAI2	1854180	1849590	9606.ENSP00000354652	9606.ENSP00000312999	0	0	0	0	0.054	0.170	0.900	0.064	0.916
PRKACB	GNAI2	1855328	1849590	9606.ENSP00000359719	9606.ENSP00000312999	0	0	0	0	0.058	0.181	0.800	0.524	0.916
CXCR4	CXCR7	1859216	1846285	9606.ENSP00000386884	9606.ENSP00000272928	0	0	0	0.810	0	0	0.900	0.860	0.916
IL2RG	MAPK3	1856061	1845265	9606.ENSP00000363318	9606.ENSP00000263025	0	0	0	0	0	0.068	0.900	0.168	0.915
CXCL12	HCK	1858332	1856392	9606.ENSP00000379140	9606.ENSP00000365012	0	0	0	0	0	0	0.900	0.185	0.915
CDH5	CDH1	1852772	1844988	9606.ENSP00000344115	9606.ENSP00000261769	0	0	0	0.719	0	0	0.900	0.580	0.915
PDGFD	PLAU	1858075	1855748	9606.ENSP00000376865	9606.ENSP00000361850	0	0	0	0	0	0	0.900	0.194	0.915
RAPGEF4	PRKACB	1858455	1855328	9606.ENSP00000380271	9606.ENSP00000359719	0	0	0	0	0	0	0.900	0.194	0.915
F13A1	SERPINE1	1845635	1842959	9606.ENSP00000264870	9606.ENSP00000223095	0	0	0	0	0	0	0.900	0.186	0.915
PRKACB	KDR	1855328	1845437	9606.ENSP00000359719	9606.ENSP00000263923	0	0	0	0.626	0.099	0.116	0.900	0.116	0.915
GRK5	LPAR1	1858049	1853763	9606.ENSP00000376609	9606.ENSP00000351755	0	0	0	0	0	0.137	0.900	0.103	0.915
IL2RG	PIK3CB	1856061	1847156	9606.ENSP00000363318	9606.ENSP00000289153	0	0	0	0	0.042	0	0.900	0.187	0.915
GNAI2	CXCR7	1849590	1846285	9606.ENSP00000312999	9606.ENSP00000272928	0	0	0	0	0	0.170	0.900	0.064	0.915
ADCY4	CCL19	1849496	1849114	9606.ENSP00000312126	9606.ENSP00000308815	0	0	0	0	0.185	0	0.900	0	0.915
CXCL12	BDKRB2	1858332	1848988	9606.ENSP00000379140	9606.ENSP00000307713	0	0	0	0	0.139	0	0.900	0.088	0.914
NCF4	VCAM1	1858463	1847502	9606.ENSP00000380334	9606.ENSP00000294728	0	0	0	0	0	0	0.900	0.183	0.914
PRKCD	PIK3R1	1851365	1846375	9606.ENSP00000331602	9606.ENSP00000274335	0	0	0	0	0.054	0.065	0.900	0.149	0.914
CCL28	CCL21	1854117	1844708	9606.ENSP00000354416	9606.ENSP00000259607	0	0	0	0	0	0	0.900	0.183	0.914
FOXO1	PIK3CB	1857055	1847156	9606.ENSP00000368880	9606.ENSP00000289153	0	0	0	0	0	0.098	0	0.908	0.914
CFD	VWF	1851434	1844904	9606.ENSP00000332139	9606.ENSP00000261405	0	0	0	0	0.086	0	0.900	0.141	0.914
HLA-E	HLA-F	1856531	1844740	9606.ENSP00000365817	9606.ENSP00000259951	0	0	0	0.971	0.053	0.149	0.900	0.759	0.914
IGF2	CFD	1859600	1851434	9606.ENSP00000391826	9606.ENSP00000332139	0	0	0	0	0.053	0	0.900	0.159	0.913
CXCR4	LPAR1	1859216	1853763	9606.ENSP00000386884	9606.ENSP00000351755	0	0	0	0	0	0	0.900	0.169	0.913
CCL5	ADCY3	1847396	1844803	9606.ENSP00000293272	9606.ENSP00000260600	0	0	0	0	0	0	0.900	0.166	0.913
HCK	PRKCD	1856392	1851365	9606.ENSP00000365012	9606.ENSP00000331602	0	0	0	0.629	0.054	0.107	0.900	0.199	0.913
EFNA4	EFNA3	1861082	1854794	9606.ENSP00000414378	9606.ENSP00000357393	0	0	0	0.858	0	0	0.900	0.870	0.912
CLDN7	CLDN4	1853987	1852595	9606.ENSP00000353475	9606.ENSP00000342445	0	0	0	0.933	0.113	0	0.900	0.860	0.912
PRKCD	VCAM1	1851365	1847502	9606.ENSP00000331602	9606.ENSP00000294728	0	0	0	0	0	0	0.900	0.160	0.912
COL16A1	COL4A2	1855964	1854011	9606.ENSP00000362776	9606.ENSP00000353654	0	0	0	0.611	0.103	0	0.900	0.210	0.912
CXCR4	C3	1859216	1843781	9606.ENSP00000386884	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.164	0.912
IGF1	SERPING1	1848439	1846563	9606.ENSP00000302665	9606.ENSP00000278407	0	0	0	0	0.129	0	0.900	0.079	0.912
CXCL12	SSTR2	1858332	1853555	9606.ENSP00000379140	9606.ENSP00000350198	0	0	0	0	0	0.145	0.900	0.057	0.912
RAPGEF3	PRKACB	1857808	1855328	9606.ENSP00000373864	9606.ENSP00000359719	0	0	0	0	0	0	0.900	0.159	0.912
CCL20	CCL21	1853751	1844708	9606.ENSP00000351671	9606.ENSP00000259607	0	0	0	0.811	0	0	0.900	0.624	0.911
CLDN4	CLDN11	1852595	1842237	9606.ENSP00000342445	9606.ENSP00000064724	0	0	0	0.676	0	0	0.900	0.374	0.911
CCL20	C3	1853751	1843781	9606.ENSP00000351671	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.151	0.911
HLA-C	VCAM1	1856460	1847502	9606.ENSP00000365402	9606.ENSP00000294728	0	0	0	0	0.046	0	0.900	0.149	0.911
CXCL12	C3	1858332	1843781	9606.ENSP00000379140	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.152	0.911
VAV3	ELMO1	1855167	1849503	9606.ENSP00000359073	9606.ENSP00000312185	0	0	0	0	0	0	0.900	0.147	0.911
CXCR4	ADCY3	1859216	1844803	9606.ENSP00000386884	9606.ENSP00000260600	0	0	0	0	0	0	0.900	0.149	0.911
F10	F13A1	1856330	1845635	9606.ENSP00000364709	9606.ENSP00000264870	0	0	0	0	0	0	0.900	0.152	0.911
SDC4	TFPI	1855743	1843343	9606.ENSP00000361818	9606.ENSP00000233156	0	0	0	0	0	0	0.900	0.148	0.911
PDGFD	PLAT	1858075	1842802	9606.ENSP00000376865	9606.ENSP00000220809	0	0	0	0	0	0	0.900	0.150	0.911
NPY1R	CCL5	1854180	1847396	9606.ENSP00000354652	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.155	0.911
PLAU	PIK3R1	1855748	1846375	9606.ENSP00000361850	9606.ENSP00000274335	0	0	0	0	0	0.074	0.900	0.121	0.911
CXCR7	GNG11	1846285	1843916	9606.ENSP00000272928	9606.ENSP00000248564	0	0	0	0	0	0.138	0.900	0.055	0.911
SELE	PRKCD	1851385	1851365	9606.ENSP00000331736	9606.ENSP00000331602	0	0	0	0	0	0.049	0.900	0.131	0.910
SSTR2	GNG11	1853555	1843916	9606.ENSP00000350198	9606.ENSP00000248564	0	0	0	0	0	0.138	0.900	0	0.910
CLDN4	CLDN8	1852595	1847039	9606.ENSP00000342445	9606.ENSP00000286809	0	0	0	0.928	0.087	0	0.900	0.897	0.910
NPY1R	GNG2	1854180	1851723	9606.ENSP00000354652	9606.ENSP00000334448	0	0	0	0	0	0.138	0.900	0	0.910
CXCR4	GNG2	1859216	1851723	9606.ENSP00000386884	9606.ENSP00000334448	0	0	0	0	0	0.138	0.900	0	0.910
HLA-A	IL2RG	1856558	1856061	9606.ENSP00000366005	9606.ENSP00000363318	0	0	0	0	0	0	0.900	0.142	0.910
LPAR1	GNG2	1853763	1851723	9606.ENSP00000351755	9606.ENSP00000334448	0	0	0	0	0	0.138	0.900	0	0.910
CXCR4	GNG11	1859216	1843916	9606.ENSP00000386884	9606.ENSP00000248564	0	0	0	0	0	0.138	0.900	0	0.910
NPY1R	GNG11	1854180	1843916	9606.ENSP00000354652	9606.ENSP00000248564	0	0	0	0	0	0.138	0.900	0	0.910
CCL28	CCL19	1854117	1849114	9606.ENSP00000354416	9606.ENSP00000308815	0	0	0	0	0	0	0.900	0.144	0.910
LPAR1	GNG11	1853763	1843916	9606.ENSP00000351755	9606.ENSP00000248564	0	0	0	0	0	0.138	0.900	0	0.910
SSTR2	GNG2	1853555	1851723	9606.ENSP00000350198	9606.ENSP00000334448	0	0	0	0	0	0.138	0.900	0	0.910
FN1	CFD	1853098	1851434	9606.ENSP00000346839	9606.ENSP00000332139	0	0	0	0	0	0	0.900	0.144	0.910
GNG2	CXCR7	1851723	1846285	9606.ENSP00000334448	9606.ENSP00000272928	0	0	0	0	0	0.138	0.900	0	0.910
FN1	SERPING1	1853098	1846563	9606.ENSP00000346839	9606.ENSP00000278407	0	0	0	0	0.053	0	0.900	0.117	0.909
GNAI2	MAPK3	1849590	1845265	9606.ENSP00000312999	9606.ENSP00000263025	0	0	0	0	0.184	0.121	0.800	0.443	0.909
CLDN8	CLDN11	1847039	1842237	9606.ENSP00000286809	9606.ENSP00000064724	0	0	0	0.675	0	0	0.900	0.325	0.909
CLDN7	CLDN11	1853987	1842237	9606.ENSP00000353475	9606.ENSP00000064724	0	0	0	0.740	0	0	0.900	0.394	0.909
CCL28	CCL20	1854117	1853751	9606.ENSP00000354416	9606.ENSP00000351671	0	0	0	0	0	0	0.900	0.124	0.908
HLA-E	PIK3CB	1856531	1847156	9606.ENSP00000365817	9606.ENSP00000289153	0	0	0	0	0	0	0.900	0.122	0.908
CLDN4	CLDN10	1852595	1848052	9606.ENSP00000342445	9606.ENSP00000299339	0	0	0	0.844	0.046	0	0.900	0.517	0.908
CCL28	CCL27	1854117	1844710	9606.ENSP00000354416	9606.ENSP00000259631	0	0	0	0.838	0	0	0.900	0.527	0.908
CLDN5	CLDN10	1858954	1848052	9606.ENSP00000384554	9606.ENSP00000299339	0	0	0	0.852	0.054	0	0.900	0.479	0.908
CXCR4	CCL28	1859216	1854117	9606.ENSP00000386884	9606.ENSP00000354416	0	0	0	0	0	0	0.900	0.123	0.908
CXCL12	CCL28	1858332	1854117	9606.ENSP00000379140	9606.ENSP00000354416	0	0	0	0	0	0	0.900	0.126	0.908
BDKRB2	CCL5	1848988	1847396	9606.ENSP00000307713	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.118	0.908
CXCL12	ADCY3	1858332	1844803	9606.ENSP00000379140	9606.ENSP00000260600	0	0	0	0	0	0	0.900	0.127	0.908
CLDN10	CLDN8	1848052	1847039	9606.ENSP00000299339	9606.ENSP00000286809	0	0	0	0.854	0.053	0	0.900	0.505	0.908
CLDN7	CLDN8	1853987	1847039	9606.ENSP00000353475	9606.ENSP00000286809	0	0	0	0.930	0.066	0	0.900	0.755	0.907
ETS1	IL2RG	1858032	1856061	9606.ENSP00000376436	9606.ENSP00000363318	0	0	0	0	0.053	0	0.900	0.101	0.907
CXCR4	NPY1R	1859216	1854180	9606.ENSP00000386884	9606.ENSP00000354652	0	0	0	0.657	0	0	0.900	0.253	0.907
ADCY3	C3	1844803	1843781	9606.ENSP00000260600	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.117	0.907
C1QB	SERPING1	1849670	1846563	9606.ENSP00000313967	9606.ENSP00000278407	0	0	0	0	0.433	0	0.800	0.250	0.907
CCL4L1	CXCR4	1860534	1859216	9606.ENSP00000405533	9606.ENSP00000386884	0	0	0	0	0	0.145	0.800	0.502	0.907
PIK3R1	IL7	1846375	1845425	9606.ENSP00000274335	9606.ENSP00000263851	0	0	0	0	0	0	0.900	0.113	0.907
CXCL12	ADCY4	1858332	1849496	9606.ENSP00000379140	9606.ENSP00000312126	0	0	0	0	0.110	0	0.900	0	0.907
CFD	F13A1	1851434	1845635	9606.ENSP00000332139	9606.ENSP00000264870	0	0	0	0	0.089	0	0.900	0.064	0.907
SDC4	THY1	1855743	1846891	9606.ENSP00000361818	9606.ENSP00000284240	0	0	0	0	0	0	0.900	0.111	0.907
PRKCD	ICAM1	1851365	1845628	9606.ENSP00000331602	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.115	0.907
ADCY4	CCL21	1849496	1844708	9606.ENSP00000312126	9606.ENSP00000259607	0	0	0	0	0.114	0	0.900	0	0.907
ICAM1	HLA-F	1845628	1844740	9606.ENSP00000264832	9606.ENSP00000259951	0	0	0	0	0	0	0.900	0.116	0.907
HLA-E	VCAM1	1856531	1847502	9606.ENSP00000365817	9606.ENSP00000294728	0	0	0	0	0	0	0.900	0.116	0.907
ITPR2	GNG2	1857367	1851723	9606.ENSP00000370744	9606.ENSP00000334448	0	0	0	0	0.090	0	0.900	0.067	0.907
LPAR1	CCL5	1853763	1847396	9606.ENSP00000351755	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.113	0.907
CCL21	C3	1844708	1843781	9606.ENSP00000259607	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.111	0.907
CLDN7	CLDN10	1853987	1848052	9606.ENSP00000353475	9606.ENSP00000299339	0	0	0	0.899	0.054	0	0.900	0.624	0.907
ADCY4	GNG11	1849496	1843916	9606.ENSP00000312126	9606.ENSP00000248564	0	0	0	0	0.098	0	0.900	0	0.906
HCAR3	CCL20	1862042	1853751	9606.ENSP00000436714	9606.ENSP00000351671	0	0	0	0	0	0	0.900	0.100	0.906
CCL19	C3	1849114	1843781	9606.ENSP00000308815	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.100	0.906
LPAR1	CCL20	1853763	1853751	9606.ENSP00000351755	9606.ENSP00000351671	0	0	0	0	0	0.094	0.900	0.049	0.906
NCF4	MMP2	1858463	1842719	9606.ENSP00000380334	9606.ENSP00000219070	0	0	0	0	0	0	0.900	0.104	0.906
ANGPT2	PIK3R1	1849738	1846375	9606.ENSP00000314897	9606.ENSP00000274335	0	0	0	0	0	0	0.900	0.099	0.906
LPAR1	CCL21	1853763	1844708	9606.ENSP00000351755	9606.ENSP00000259607	0	0	0	0	0	0.064	0.900	0.074	0.905
CXCR4	CXCL14	1859216	1851958	9606.ENSP00000386884	9606.ENSP00000337065	0	0	0	0	0	0.360	0.800	0.321	0.905
CCL20	SSTR2	1853751	1853555	9606.ENSP00000351671	9606.ENSP00000350198	0	0	0	0	0	0.094	0.900	0	0.905
CLDN5	CLDN7	1858954	1853987	9606.ENSP00000384554	9606.ENSP00000353475	0	0	0	0.931	0	0	0.900	0.787	0.905
NPY1R	CCL20	1854180	1853751	9606.ENSP00000354652	9606.ENSP00000351671	0	0	0	0	0	0.094	0.900	0	0.905
CLDN5	CLDN8	1858954	1847039	9606.ENSP00000384554	9606.ENSP00000286809	0	0	0	0.918	0	0	0.900	0.709	0.905
LPAR1	BDKRB2	1853763	1848988	9606.ENSP00000351755	9606.ENSP00000307713	0	0	0	0	0.067	0	0.900	0.066	0.905
IGF2	SERPING1	1859600	1846563	9606.ENSP00000391826	9606.ENSP00000278407	0	0	0	0	0	0	0.900	0.088	0.904
PIK3R1	HBEGF	1846375	1843270	9606.ENSP00000274335	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0.087	0.904
RAPGEF4	RAPGEF3	1858455	1857808	9606.ENSP00000380271	9606.ENSP00000373864	0	0	0	0.942	0	0	0.900	0.835	0.904
CXCL12	GNAI2	1858332	1849590	9606.ENSP00000379140	9606.ENSP00000312999	0	0	0	0	0	0	0.900	0.088	0.904
OCLN	CLDN11	1853164	1842237	9606.ENSP00000347379	9606.ENSP00000064724	0	0	0	0	0	0	0.800	0.544	0.904
HCAR3	CCL5	1862042	1847396	9606.ENSP00000436714	9606.ENSP00000293272	0	0	0	0	0.055	0	0.900	0.074	0.904
CLDN5	CLDN4	1858954	1852595	9606.ENSP00000384554	9606.ENSP00000342445	0	0	0	0.939	0	0	0.900	0.811	0.904
LPAR1	SSTR2	1853763	1853555	9606.ENSP00000351755	9606.ENSP00000350198	0	0	0	0	0	0	0.900	0.087	0.904
LPAR1	ADCY3	1853763	1844803	9606.ENSP00000351755	9606.ENSP00000260600	0	0	0	0	0	0	0.900	0.084	0.904
SSTR2	ADCY4	1853555	1849496	9606.ENSP00000350198	9606.ENSP00000312126	0	0	0	0	0.049	0	0.900	0.071	0.904
NCF4	VAV3	1858463	1855167	9606.ENSP00000380334	9606.ENSP00000359073	0	0	0	0	0	0	0.900	0.088	0.904
ITPR2	GNAI2	1857367	1849590	9606.ENSP00000370744	9606.ENSP00000312999	0	0	0	0	0.042	0	0.900	0.070	0.903
NPY1R	ADCY4	1854180	1849496	9606.ENSP00000354652	9606.ENSP00000312126	0	0	0	0	0.053	0	0.900	0.065	0.903
BDKRB2	C3	1848988	1843781	9606.ENSP00000307713	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.071	0.903
VEGFC	PIK3R1	1846658	1846375	9606.ENSP00000280193	9606.ENSP00000274335	0	0	0	0	0	0	0.900	0.077	0.903
LPAR1	CXCR7	1853763	1846285	9606.ENSP00000351755	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0.079	0.903
CXCR4	CCL8	1859216	1858210	9606.ENSP00000386884	9606.ENSP00000378118	0	0	0	0	0.050	0.145	0.800	0.478	0.903
SSTR2	ADCY3	1853555	1844803	9606.ENSP00000350198	9606.ENSP00000260600	0	0	0	0	0.049	0	0.900	0.065	0.903
FGFR1	PIK3CB	1859710	1847156	9606.ENSP00000393312	9606.ENSP00000289153	0	0	0	0	0.055	0.110	0.800	0.492	0.903
OCLN	CLDN8	1853164	1847039	9606.ENSP00000347379	9606.ENSP00000286809	0	0	0	0	0.053	0	0.800	0.530	0.903
IGF2	F13A1	1859600	1845635	9606.ENSP00000391826	9606.ENSP00000264870	0	0	0	0	0	0	0.900	0.073	0.903
PIK3R1	VWF	1846375	1844904	9606.ENSP00000274335	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.078	0.903
HCAR3	CXCR4	1862042	1859216	9606.ENSP00000436714	9606.ENSP00000386884	0	0	0	0.658	0	0	0.900	0.099	0.902
HCAR3	CXCL12	1862042	1858332	9606.ENSP00000436714	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.066	0.902
NPY1R	SSTR2	1854180	1853555	9606.ENSP00000354652	9606.ENSP00000350198	0	0	0	0.725	0.051	0	0.900	0.102	0.902
CCL28	CCL5	1854117	1847396	9606.ENSP00000354416	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.062	0.902
GNAI2	CCL21	1849590	1844708	9606.ENSP00000312999	9606.ENSP00000259607	0	0	0	0	0	0	0.900	0.066	0.902
CCL28	SSTR2	1854117	1853555	9606.ENSP00000354416	9606.ENSP00000350198	0	0	0	0	0	0	0.900	0.068	0.902
VEGFC	SERPING1	1846658	1846563	9606.ENSP00000280193	9606.ENSP00000278407	0	0	0	0	0	0	0.900	0.069	0.902
CFD	HGF	1851434	1842916	9606.ENSP00000332139	9606.ENSP00000222390	0	0	0	0.757	0	0	0.900	0.127	0.902
SSTR2	CCL21	1853555	1844708	9606.ENSP00000350198	9606.ENSP00000259607	0	0	0	0	0	0.064	0.900	0	0.902
PRKACB	IL3RA	1855328	1850970	9606.ENSP00000359719	9606.ENSP00000327890	0	0	0	0	0	0	0.900	0.066	0.902
VAV3	KDR	1855167	1845437	9606.ENSP00000359073	9606.ENSP00000263923	0	0	0	0	0	0.065	0.900	0.044	0.902
CCL27	C3	1844710	1843781	9606.ENSP00000259631	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.063	0.902
SSTR2	CCL27	1853555	1844710	9606.ENSP00000350198	9606.ENSP00000259631	0	0	0	0	0	0.066	0.900	0	0.902
LPAR1	CCL27	1853763	1844710	9606.ENSP00000351755	9606.ENSP00000259631	0	0	0	0	0	0.066	0.900	0	0.902
LPAR1	PIK3R1	1853763	1846375	9606.ENSP00000351755	9606.ENSP00000274335	0	0	0	0	0	0.064	0.900	0	0.902
ITPR2	GNG11	1857367	1843916	9606.ENSP00000370744	9606.ENSP00000248564	0	0	0	0	0	0	0.900	0.065	0.902
CCL20	GNAI2	1853751	1849590	9606.ENSP00000351671	9606.ENSP00000312999	0	0	0	0	0	0	0.900	0.055	0.901
RAPGEF4	GNAI2	1858455	1849590	9606.ENSP00000380271	9606.ENSP00000312999	0	0	0	0	0.053	0	0.900	0	0.901
NPY1R	CCL28	1854180	1854117	9606.ENSP00000354652	9606.ENSP00000354416	0	0	0	0	0	0	0.900	0.054	0.901
PGF	PIK3R1	1862737	1846375	9606.ENSP00000451040	9606.ENSP00000274335	0	0	0	0	0	0	0.900	0.056	0.901
PRKACB	PPP1R1B	1855328	1844270	9606.ENSP00000359719	9606.ENSP00000254079	0	0	0	0	0.053	0	0.900	0	0.901
ELMO1	KDR	1849503	1845437	9606.ENSP00000312185	9606.ENSP00000263923	0	0	0	0	0.052	0	0.900	0.043	0.901
HLA-C	EGR1	1856460	1843543	9606.ENSP00000365402	9606.ENSP00000239938	0	0	0	0	0	0	0.900	0.054	0.901
ADCY4	CXCR7	1849496	1846285	9606.ENSP00000312126	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0.053	0.901
GNAI2	CCL19	1849590	1849114	9606.ENSP00000312999	9606.ENSP00000308815	0	0	0	0	0	0	0.900	0.056	0.901
LPAR1	ADCY4	1853763	1849496	9606.ENSP00000351755	9606.ENSP00000312126	0	0	0	0	0	0	0.900	0.054	0.901
CXCR4	BDKRB2	1859216	1848988	9606.ENSP00000386884	9606.ENSP00000307713	0	0	0	0.749	0	0	0.900	0.117	0.901
CXCR4	SSTR2	1859216	1853555	9606.ENSP00000386884	9606.ENSP00000350198	0	0	0	0.754	0	0	0.900	0.112	0.901
GNAI2	C3	1849590	1843781	9606.ENSP00000312999	9606.ENSP00000245907	0	0	0	0	0.052	0	0.900	0	0.901
CXCR4	PTPRC	1859216	1854576	9606.ENSP00000386884	9606.ENSP00000356346	0	0	0	0	0.171	0.368	0	0.826	0.901
RAPGEF3	GNAI2	1857808	1849590	9606.ENSP00000373864	9606.ENSP00000312999	0	0	0	0	0.053	0	0.900	0	0.901
SSTR2	CXCR7	1853555	1846285	9606.ENSP00000350198	9606.ENSP00000272928	0	0	0	0.742	0	0	0.900	0.080	0.901
ADCY4	CCL5	1849496	1847396	9606.ENSP00000312126	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.058	0.901
